Unnamed: 0,term,tag,value,pstv,neut,ngtv,dunno,distortion
4872,дощовий,NEUT,-0.0394,0.1635,0.5673,0.1827,0.0865,0.3097
4873,дощ,NEUT,0.3017,0.3069,0.5347,0.0594,0.099,0.0709
4874,дожевать,NEUT,0.1,0.2,0.6,0.0,0.2,0.0
4875,чекати,NEUT,0.0135,0.1727,0.6636,0.1182,0.0455,0.199
4876,дожити,NEUT,0.5487,0.46,0.3,0.15,0.09,0.1989
4877,дожёвивать,NEUT,0.0,0.1111,0.7407,0.037000000000000005,0.1111,0.0494
4878,доза,NEUT,-0.078,0.1468,0.5596,0.1835,0.1101,0.2642
4879,телефонувати,NEUT,0.35,0.3301,0.5049,0.0583,0.1068,0.0685
4880,дозволеності,NEUT,0.18,0.2353,0.4314,0.1471,0.1863,0.239
4881,дозволительного,NEUT,0.4091,0.3738,0.486,0.0374,0.1028,0.0411
4882,дозволяти,NEUT,0.3918,0.4059,0.3366,0.1683,0.0891,0.2381
4883,додзвонитися,NEUT,0.46,0.396,0.4455,0.0594,0.099,0.0683
4884,дозування,NEUT,0.12,0.2039,0.5437,0.1456,0.1068,0.2497
4885,дозор,NEUT,0.2826,0.2376,0.4356,0.099,0.2277,0.1403
4886,дозревать,PSTV,0.626,0.5096,0.3558,0.0673,0.0673,0.0762
4887,дограти,NEUT,0.3182,0.2913,0.4854,0.0874,0.1359,0.1136
4888,догратися,NGTV,-1.0,0.0,0.12,0.84,0.04,0.0
4889,догравати,NEUT,0.3182,0.3235,0.5392,0.0294,0.1078,0.0321
4890,доисторический,NEUT,0.0,0.1034,0.7241,0.0,0.1724,0.0
4891,доїти,NEUT,0.1,0.24,0.72,0.0,0.04,0.0
4892,дійти,NEUT,0.5294,0.4706,0.4314,0.0196,0.0784,0.0204
4893,доведеність,NEUT,0.5077,0.44,0.43,0.02,0.11,0.0209
4894,доказовість,NEUT,0.4268,0.3725,0.4608,0.049,0.1176,0.0555
4895,доказовий,NEUT,0.3759,0.32,0.456,0.08,0.14400000000000002,0.1
4896,доказовий,NEUT,0.3678,0.3241,0.4722,0.0556,0.1481,0.0651
4897,Доведення,NEUT,0.5308,0.4554,0.4158,0.0297,0.099,0.0316
4898,доказать,NEUT,0.3298,0.3362,0.5431,0.0517,0.069,0.0597
4899,доведення,NEUT,0.4915,0.3824,0.3922,0.098,0.1275,0.1232
4900,доводити,NEUT,0.1,0.2222,0.6667,0.0741,0.037000000000000005,0.0988
4901,докопуватися,NGTV,-0.6892,0.1111,0.2778,0.4722,0.1389,0.1373
4902,докатить,NEUT,0.2788,0.2647,0.4902,0.0882,0.1569,0.1176
4903,докотитися,NGTV,-0.7373,0.0693,0.297,0.5743,0.0594,0.0777
4904,докинуть,NEUT,0.0556,0.2,0.68,0.04,0.08,0.048
4905,доповідь,NEUT,0.0,0.12,0.72,0.04,0.12,0.0533
4906,доповідати,NEUT,0.1635,0.2277,0.5743,0.1188,0.0792,0.1808
4907,доковылять,NEUT,-0.1688,0.198,0.3663,0.297,0.1386,0.33
4908,доконать,NGTV,-1.0,0.08,0.04,0.84,0.04,0.0876
4909,докопатися,NGTV,-0.9,0.0714,0.2143,0.6429,0.0714,0.0794
4910,докричатися,NEUT,-0.069,0.2039,0.466,0.2427,0.0874,0.3751
4911,докрутити,NEUT,0.2909,0.29,0.52,0.07,0.12,0.0869
4912,доктор,PSTV,0.7326,0.578,0.3028,0.055,0.0642,0.0603
4913,докторський,NEUT,0.5455,0.4528,0.3962,0.0849,0.066,0.1008
4914,лікарка,NEUT,0.1004,0.2745,0.3824,0.2157,0.1275,0.3852
4915,документ,NEUT,0.1545,0.2286,0.5905,0.0476,0.1333,0.0575
4916,документаліст,NEUT,0.0556,0.1852,0.6296,0.037000000000000005,0.1481,0.0444
4917,документальний,NEUT,0.25,0.2913,0.5825,0.0485,0.0777,0.0566
4918,документація,NEUT,0.0,0.0882,0.7941,0.0588,0.0588,0.098
4919,документування,NEUT,0.1,0.2308,0.6923,0.0,0.0769,0.0
4920,докуповувати,NEUT,0.3537,0.3431,0.5196,0.0784,0.0588,0.0964
4921,докупити,NEUT,0.1,0.24,0.72,0.0,0.04,0.0
4922,докурювати,NGTV,-0.5672,0.0686,0.3627,0.4412,0.1275,0.0793
4923,докурити,NGTV,-0.5,0.0594,0.4257,0.4257,0.0891,0.0677
4924,докуривши,NGTV,-1.0,0.04,0.0,0.88,0.08,0.0418
4925,долбануть,NGTV,-1.0,0.0769,0.1154,0.7308,0.0769,0.085
4926,довбати,NGTV,-0.8878,0.0865,0.1923,0.5577,0.1635,0.1
4927,борг,NGTV,-0.3594,0.1683,0.3663,0.396,0.0693,0.2399
4928,довгий,NEUT,0.0,0.0,0.6923,0.0769,0.2308,0.0
4929,долговечность,PSTV,1.0,0.6667,0.1111,0.0833,0.1389,0.0938
4930,долговечный,PSTV,0.8445,0.6634,0.2574,0.0297,0.0495,0.031
4931,боргової,NGTV,-0.6351,0.0762,0.3048,0.4476,0.1714,0.0892
4932,довготривалість,NEUT,0.0,0.1333,0.6667,0.0667,0.1333,0.1
4933,довготривалий,NEUT,0.1667,0.2376,0.5941,0.099,0.0693,0.1403
4934,довгоочікуваний,PSTV,1.0,0.6923,0.1538,0.0769,0.0769,0.0855
4935,довгожительство,PSTV,0.9,0.6857,0.2286,0.0,0.0857,0.0
4936,довгограючий,NEUT,0.0806,0.2222,0.7037,0.037000000000000005,0.037000000000000005,0.0432
4937,довголіття,PSTV,1.0,0.8,0.0286,0.0857,0.0857,0.0949
4938,довголітній,PSTV,0.6,0.5098,0.3824,0.0392,0.0686,0.0422
4939,долгонько,NEUT,-0.0842,0.16,0.46,0.2,0.18,0.28800000000000003
4940,довгостроковий,NEUT,0.1364,0.2079,0.5644,0.1188,0.1089,0.1867
4941,довготерпіння,NEUT,0.4245,0.4286,0.2952,0.181,0.0952,0.2574
4942,долезть,NEUT,0.425,0.3627,0.451,0.0882,0.098,0.1097
4943,доліпити,NEUT,0.2909,0.29,0.52,0.05,0.14,0.0586
4944,долітати,NEUT,0.25,0.2807,0.5614,0.0526,0.1053,0.0625
4945,долететь,PSTV,0.5545,0.4766,0.4063,0.0313,0.0859,0.0333
4946,долечивание,PSTV,0.5742,0.41,0.31,0.11,0.17,0.1395
4947,долечиваться,NEUT,0.5254,0.4356,0.3465,0.1287,0.0891,0.1667
4948,долечить,PSTV,0.9,0.6563,0.2188,0.0313,0.0938,0.0327
4949,долікуватися,PSTV,0.8097,0.604,0.2574,0.0693,0.0693,0.0773
4950,повинен,NEUT,-0.0324,0.1694,0.5726,0.1855,0.0726,0.324
4951,повинна,NEUT,-0.1202,0.1743,0.4862,0.2385,0.1009,0.3017
4952,боржник,NGTV,-0.9,0.05,0.225,0.675,0.05,0.0537
4953,має,NEUT,0.2985,0.2903,0.4839,0.129,0.0968,0.1864
4954,посадовий,NEUT,0.0,0.1619,0.6667,0.0762,0.0952,0.112
4955,посаду,NEUT,0.0,0.069,0.8966,0.0,0.0345,0.0
4956,повинні,NEUT,0.0678,0.2137,0.4444,0.1795,0.1624,0.3303
4957,боржок,NGTV,-0.7364,0.1132,0.2642,0.5094,0.1132,0.1384
4958,доливати,NEUT,0.199,0.2376,0.5446,0.0396,0.1782,0.0462
4959,долизать,NEUT,-0.0731,0.2,0.43,0.24,0.13,0.3667
4960,долина,NEUT,0.2934,0.32,0.57,0.0,0.11,0.0
4961,долити,NEUT,0.434,0.33,0.4,0.05,0.22,0.0576
4962,долар,NEUT,0.0,0.16,0.76,0.0,0.08,0.0
4963,доповісти,NEUT,-0.1891,0.1387,0.5182,0.2336,0.1095,0.221
4964,доламати,NGTV,-0.9,0.0,0.24,0.72,0.04,0.0
4965,часточка,NEUT,0.1,0.2,0.6,0.0286,0.1714,0.0327
4966,дом,PSTV,0.5577,0.4793,0.405,0.0496,0.0661,0.0547
4967,домашка,NEUT,-0.2783,0.15,0.46,0.31,0.08,0.2226
4968,домашній,PSTV,0.6556,0.5842,0.3762,0.0099,0.0297,0.0101
4969,домен,NEUT,0.0,0.1333,0.6333,0.0667,0.1667,0.1
4970,домик,NEUT,0.5444,0.4667,0.4095,0.0381,0.0857,0.0412
4971,домінанта,NEUT,0.1623,0.17,0.43,0.09,0.31,0.1376
4972,домінантність,NEUT,0.2234,0.25,0.41,0.14,0.2,0.2184
4973,домінантний,NEUT,0.3462,0.31,0.32,0.13,0.24,0.1845
4974,домінувати,NEUT,-0.1102,0.24,0.34,0.31,0.11,0.4258
4975,домино,NEUT,0.0,0.16,0.68,0.04,0.12,0.05
4976,домишко,NEUT,0.2452,0.3627,0.3431,0.2059,0.0882,0.3227
4977,домовласниця,NEUT,0.3333,0.3431,0.5489999999999999,0.0392,0.0686,0.0437
4978,домоведення,NEUT,0.5222,0.47,0.44,0.01,0.08,0.0102
4979,будинковий,NEUT,0.3065,0.25,0.43,0.1,0.22,0.14
4980,домогательство,NGTV,-1.0,0.04,0.12,0.72,0.12,0.0422
4981,домогаться,NGTV,-1.0,0.0667,0.1333,0.7,0.1,0.073
4982,домосід,NEUT,-0.0381,0.19,0.5,0.21,0.1,0.3619
4983,домувальниця,NEUT,0.0,0.1782,0.495,0.1782,0.1485,0.3564
4984,житлове будівництво,NEUT,0.4462,0.4059,0.4752,0.0594,0.0594,0.0681
4985,домобудівництво,NEUT,0.4773,0.4257,0.4554,0.0099,0.1089,0.0101
4986,домоуправління,NEUT,0.1509,0.2255,0.5882,0.0686,0.1176,0.0895
4987,домофон,NEUT,0.1,0.2333,0.7,0.0,0.0667,0.0
4988,домогосподар,NEUT,0.525,0.4158,0.3861,0.0891,0.1089,0.1082
4989,домогосподарка,NEUT,0.3898,0.3465,0.4752,0.0693,0.1089,0.0832
4990,домогосподарство,NEUT,0.436,0.3786,0.4563,0.0777,0.0874,0.0936
4991,домработница,NEUT,0.34,0.3333,0.5238,0.0762,0.0667,0.0936
4992,домучували,NGTV,-1.0,0.0857,0.1429,0.6429,0.1286,0.0971
4993,домучив,NEUT,-0.3103,0.2524,0.2039,0.4272,0.1165,0.4016
4994,домчаться,NEUT,0.4344,0.3486,0.422,0.0642,0.1651,0.0761
4995,домысливать,NEUT,0.314,0.3465,0.3762,0.1584,0.1188,0.2308
4996,домити,NEUT,0.4512,0.3645,0.4206,0.0935,0.1215,0.1174
4997,доношувати,NEUT,-0.2043,0.1619,0.4857,0.2762,0.0762,0.2568
4998,донести,NEUT,0.1042,0.2,0.52,0.15,0.13,0.2625
4999,донестись,NEUT,0.2791,0.29,0.43,0.14,0.14,0.2076
5000,донжуанский,NEUT,-0.1781,0.2478,0.2124,0.3451,0.1947,0.4257
5001,до низу,NEUT,0.0,0.0741,0.8519,0.0,0.0741,0.0
5002,дошкуляти,NGTV,-1.0,0.04,0.16,0.8,0.0,0.042
5003,донор,PSTV,0.96,0.6809,0.1915,0.0851,0.0426,0.0957
5004,донорский,NEUT,0.5323,0.4356,0.396,0.0297,0.1386,0.0317
5005,доносити,NGTV,-0.7204,0.13,0.27,0.51,0.09,0.1631
5006,доноситься,NEUT,0.0357,0.1786,0.6429,0.0714,0.1071,0.1
5007,денце,NEUT,0.0,0.1287,0.5842,0.1386,0.1485,0.2482
5008,дообеденное,NEUT,0.1606,0.2376,0.604,0.0495,0.1089,0.0598
5009,допікати,NGTV,-0.7727,0.11,0.24,0.51,0.14,0.1337
5010,допереть,NEUT,0.0923,0.3168,0.3069,0.2574,0.1188,0.4666
5011,допеть,NEUT,0.5083,0.402,0.3922,0.0196,0.1863,0.0206
5012,додрукувати,NEUT,0.0357,0.1923,0.6923,0.0385,0.0769,0.0462
5013,допечь,NEUT,0.2393,0.3069,0.4158,0.1683,0.1089,0.2606
5014,допивати,NEUT,0.1,0.1905,0.5714,0.0,0.2381,0.0
5015,дописати,NEUT,0.25,0.3182,0.6364,0.0091,0.0364,0.0094
5016,дописывать,NEUT,0.0,0.16,0.72,0.04,0.08,0.05
5017,допити,NEUT,0.0217,0.16,0.6,0.04,0.2,0.05
5018,допитися,NGTV,-0.9783,0.0891,0.1584,0.5941,0.1584,0.1025
5019,доплата,NEUT,0.4863,0.4257,0.4059,0.1188,0.0495,0.152
5020,доплатить,NEUT,0.2342,0.28,0.5,0.15,0.07,0.2304
5021,доплачувати,NEUT,0.2373,0.3137,0.3529,0.1765,0.1569,0.2757
5022,доплывать,NEUT,0.5074,0.434,0.4245,0.0566,0.0849,0.064
5023,доплисти,PSTV,0.5515,0.495,0.4257,0.0594,0.0198,0.0665
5024,доплюнуть,NEUT,-0.1964,0.21,0.27,0.32,0.2,0.3478
5025,достеменний,PSTV,0.575,0.434,0.3491,0.0189,0.1981,0.0197
5026,допізна,NEUT,-0.1471,0.1,0.58,0.22,0.1,0.1455
5027,доповзати,NEUT,0.0788,0.2059,0.5,0.1667,0.1275,0.3016
5028,доползти,NEUT,0.1452,0.2,0.53,0.13,0.14,0.2145
5029,ущерть,NEUT,0.3571,0.28,0.42,0.06,0.24,0.0729
5030,доповнення,NEUT,0.3455,0.31,0.48,0.07,0.14,0.0858
5031,додатковий,NEUT,0.1864,0.2477,0.5872,0.055,0.1101,0.0673
5032,доповнити,PSTV,0.6429,0.5294,0.3529,0.049,0.0686,0.0536
5033,доповнитись,NEUT,0.5238,0.44,0.41,0.07,0.08,0.0811
5034,дополнять,PSTV,0.7091,0.52,0.29,0.04,0.15,0.0431
5035,доповнюватися,NEUT,0.542,0.4216,0.3725,0.0686,0.1373,0.0798
5036,дополоскать,NEUT,0.1,0.2258,0.6774,0.0323,0.0645,0.0369
5037,недоотримувати,NEUT,0.5172,0.4,0.38,0.05,0.17,0.0563
5038,допрашивать,NGTV,-0.7632,0.07,0.28,0.58,0.07,0.0784
5039,допрос,NGTV,-0.7358,0.12,0.27,0.52,0.09,0.1477
5040,допросить,NGTV,-0.4268,0.0943,0.4434,0.3585,0.1038,0.1192
5041,дострибати,NEUT,0.0922,0.1913,0.5304,0.1478,0.1304,0.2621
5042,дострибатися,NGTV,-0.9474,0.0882,0.2059,0.7059,0.0,0.0993
5043,дострибнути,NEUT,0.5153,0.4455,0.4257,0.0198,0.1089,0.0207
5044,допуск,NEUT,0.542,0.43,0.38,0.06,0.13,0.0684
5045,допускать,NEUT,0.3611,0.31,0.46,0.06,0.17,0.0716
5046,допустимость,NEUT,0.3607,0.3241,0.4815,0.037000000000000005,0.1574,0.0413
5047,допустимий,NEUT,0.4828,0.3762,0.396,0.0792,0.1485,0.0959
5048,допустити,NEUT,0.3182,0.3158,0.5263,0.0877,0.0702,0.1121
5049,допущение,NEUT,0.0,0.1154,0.7692,0.0385,0.0769,0.0513
5050,розпитувати,NGTV,-0.7286,0.06,0.27,0.51,0.16,0.0671
5051,допитуватися,NGTV,-0.4755,0.1504,0.2857,0.406,0.1579,0.2061
5052,доработать,PSTV,0.5924,0.47,0.36,0.09,0.08,0.1072
5053,дорастать,NEUT,0.0769,0.2,0.64,0.0,0.16,0.0
5054,дорезать,NEUT,0.0644,0.1863,0.6176,0.0784,0.1176,0.1115
5055,домалювати,NEUT,0.1,0.2069,0.6207,0.0345,0.1379,0.0402
5056,домальовувати,PSTV,0.5597,0.495,0.4158,0.0198,0.0693,0.0206
5057,дорога,NEUT,0.0806,0.2222,0.7037,0.0,0.0741,0.0
5058,дороговатый,NGTV,-0.7709999999999999,0.1188,0.2574,0.5446,0.0792,0.1447
5059,дороговизна,NGTV,-0.6509,0.1078,0.2941,0.451,0.1471,0.1336
5060,дорогий,PSTV,0.7449,0.5748,0.2913,0.0709,0.063,0.0796
5061,дорогостоящий,NEUT,-0.1369,0.1803,0.418,0.2541,0.1475,0.3083
5062,дорожать,NGTV,-0.4262,0.1782,0.3168,0.4356,0.0693,0.2511
5063,дорожить,PSTV,1.0,0.7778,0.1111,0.037000000000000005,0.0741,0.0388
5064,доріжка,NEUT,0.1,0.1852,0.5556,0.0,0.2593,0.0
5065,дорожник,NEUT,0.1632,0.2079,0.5248,0.0693,0.198,0.0924
5066,дорожный,NEUT,0.0,0.1333,0.7,0.0667,0.1,0.1
5067,дорубить,NEUT,0.0396,0.1881,0.5743,0.1683,0.0693,0.3189
5068,досада,NGTV,-0.9828,0.0,0.2,0.76,0.04,0.0
5069,досадить,NGTV,-1.0,0.0,0.08,0.88,0.04,0.0
5070,досадный,NGTV,-0.9,0.0833,0.2222,0.6667,0.0278,0.0938
5071,досидеть,NEUT,0.1026,0.2,0.55,0.15,0.1,0.2625
5072,доска,NEUT,0.0,0.0769,0.8846,0.0,0.0385,0.0
5073,досказать,NEUT,0.4065,0.3652,0.4783,0.0348,0.1217,0.0381
5074,доскакать,NEUT,0.0,0.1538,0.6538,0.0385,0.1538,0.0481
5075,доскакавши,NGTV,-0.9,0.0857,0.2,0.6,0.1143,0.098
5076,доскональність,PSTV,0.569,0.44,0.36,0.03,0.17,0.032
5077,доскональный,PSTV,0.5714,0.4615,0.375,0.0673,0.0962,0.0771
5078,дослівний,NEUT,0.0,0.1852,0.8148,0.0,0.0,0.0
5079,дослужить,NEUT,0.4435,0.39,0.46,0.07,0.08,0.0826
5080,дослужиться,NEUT,0.5385,0.4356,0.2475,0.1584,0.1584,0.21600000000000005
5081,дослухати,PSTV,0.5847,0.46,0.36,0.08,0.1,0.0939
5082,дослухувати,PSTV,0.7091,0.52,0.29,0.07,0.12,0.0794
5083,оглядати,NEUT,0.02,0.19,0.52,0.18,0.11,0.3505
5084,огляд,NEUT,-0.2795,0.16,0.37,0.32,0.15,0.24
5085,додивитися,NEUT,0.3333,0.2941,0.4706,0.1078,0.1275,0.1474
5086,досочка,NEUT,0.229,0.26,0.55,0.08,0.11,0.1046
5087,доспать,PSTV,0.9,0.6429,0.2143,0.0714,0.0714,0.0794
5088,обладунок,NEUT,0.4706,0.44,0.48,0.05,0.03,0.0557
5089,досрочный,NEUT,0.542,0.4175,0.3689,0.068,0.1456,0.079
5090,діставання,NGTV,-0.8654,0.0874,0.2136,0.5825,0.1165,0.1005
5091,доставать,NEUT,-0.3364,0.12,0.46,0.3,0.12,0.168
5092,діставатися,NEUT,0.3167,0.3,0.4727,0.1273,0.1,0.1813
5093,доставити,NEUT,0.1,0.24,0.72,0.0,0.04,0.0
5094,доставка,NEUT,0.3716,0.3496,0.5041,0.065,0.0813,0.0771
5095,доставление,NEUT,0.4,0.3267,0.4356,0.0099,0.2277,0.0102
5096,доставляти,NEUT,0.0625,0.2143,0.7143,0.0,0.0714,0.0
5097,доставщик,NEUT,0.2311,0.2788,0.5865,0.0481,0.0865,0.0564
5098,достаток,PSTV,1.0,0.84,0.04,0.0,0.12,0.0
5099,достаточность,PSTV,0.7439,0.604,0.3069,0.0198,0.0693,0.0205
5100,достаточный,PSTV,0.6298,0.5392,0.3725,0.0098,0.0784,0.01
5101,достать,NEUT,0.2975,0.3333,0.4118,0.1569,0.098,0.2307
5102,дістатися,NEUT,0.1267,0.2294,0.4495,0.1651,0.156,0.284
5103,досягати,PSTV,0.9098,0.74,0.24,0.0,0.02,0.0
5104,достигнуть,PSTV,1.0,0.6774,0.1613,0.0323,0.129,0.0338
5105,достижение,PSTV,1.0,0.88,0.08,0.0,0.04,0.0
5106,досяжний,PSTV,0.9,0.6923,0.2308,0.0385,0.0385,0.0406
5107,досягти,PSTV,0.9,0.7059,0.2353,0.0235,0.0353,0.0243
5108,достовірність,PSTV,0.6933,0.5446,0.3168,0.0396,0.099,0.0425
5109,достоверный,PSTV,0.9828,0.7037,0.1852,0.0741,0.037000000000000005,0.0819
5110,достоинство,PSTV,1.0,0.8,0.12,0.0,0.08,0.0
5111,достойнейший,PSTV,1.0,0.7857,0.0714,0.0714,0.0714,0.0779
5112,гідний,PSTV,1.0,0.8929,0.0,0.0357,0.0714,0.0371
5113,пам'ятка,PSTV,0.7205,0.604,0.3267,0.0297,0.0396,0.0312
5114,дощечка,NEUT,0.0854,0.1818,0.5682,0.0227,0.2273,0.0256
5115,достояти,PSTV,0.5660000000000001,0.396,0.3267,0.0792,0.198,0.095
5116,достраивать,NEUT,0.5238,0.4356,0.4059,0.0693,0.0891,0.0803
5117,добудовуватися,NEUT,0.459,0.39,0.44,0.03,0.14,0.0323
5118,достроить,PSTV,0.9,0.7286,0.2429,0.0,0.0286,0.0
5119,доступ,NEUT,0.3873,0.3853,0.5321,0.0092,0.0734,0.0094
5120,доступность,NEUT,0.458,0.38,0.43,0.07,0.12,0.0829
5121,доступний,PSTV,0.6,0.4706,0.3529,0.0686,0.1078,0.0786
5122,достучаться,NEUT,0.5,0.44,0.38,0.13,0.05,0.1684
5123,досуг,PSTV,0.7364,0.5347,0.2772,0.099,0.0891,0.1173
5124,насухо,NEUT,0.2567,0.2376,0.4257,0.1188,0.2178,0.1782
5125,дорахувати,NEUT,0.1807,0.2477,0.5963,0.0642,0.0917,0.0809
5126,досчитаться,NEUT,0.3486,0.3107,0.3689,0.1262,0.1942,0.1775
5127,досыпать,PSTV,0.657,0.53,0.34,0.06,0.07,0.0668
5128,досита,PSTV,0.9,0.6818,0.2273,0.0227,0.0682,0.0235
5129,досюда,NEUT,0.0,0.1068,0.5146,0.1068,0.2718,0.2136
5130,досягаемый,NEUT,0.4818,0.36,0.38,0.06,0.2,0.07
5131,дотягнути,NEUT,0.2982,0.31,0.48,0.14,0.07,0.2032
5132,дотягнути,NGTV,-0.424,0.14,0.31,0.37,0.18,0.193
5133,дотерпеть,NEUT,0.1692,0.3267,0.396,0.2178,0.0594,0.363
5134,скрупульозність,NGTV,-0.7547,0.1468,0.211,0.5138,0.1284,0.1887
5135,допитливий,NGTV,-0.7149,0.1875,0.1964,0.5625,0.0536,0.25
5136,доторкатися,NEUT,0.1,0.2258,0.6774,0.0,0.0968,0.0
5137,дотронуться,NEUT,0.0625,0.2069,0.6897,0.069,0.0345,0.092
5138,дотягувати,NEUT,0.0357,0.2,0.72,0.04,0.04,0.048
5139,дотягуватися,NEUT,0.2431,0.27,0.55,0.06,0.12,0.0733
5140,дотянуть,NEUT,0.3468,0.3431,0.5294,0.0588,0.0686,0.0689
5141,дотягнутися,PSTV,0.5565,0.46,0.39,0.05,0.1,0.0554
5142,доучуватися,PSTV,0.5847,0.46,0.36,0.09,0.09,0.1076
5143,доучить,PSTV,0.588,0.4757,0.3689,0.0583,0.0971,0.0654
5144,довчитися,PSTV,0.5584,0.51,0.43,0.04,0.02,0.0431
5145,дохлий,NGTV,-1.0,0.0385,0.1923,0.7692,0.0,0.0404
5146,дохляк,NGTV,-1.0,0.08,0.16,0.72,0.04,0.0889
5147,дохнуть,NGTV,-1.0,0.1,0.16,0.68,0.06,0.1147
5148,доход,PSTV,1.0,0.72,0.16,0.04,0.08,0.0422
5149,доходить,NEUT,0.1,0.2069,0.6207,0.0345,0.1379,0.0402
5150,прибутковий,PSTV,0.9,0.629,0.2097,0.0645,0.0968,0.0711
5151,дохідливість,PSTV,1.0,0.7586,0.1034,0.0345,0.1034,0.0361
5152,доходчивый,PSTV,1.0,0.7097,0.1613,0.0,0.129,0.0
5153,донечка,PSTV,1.0,0.8077,0.1154,0.0385,0.0385,0.0403
5154,дочиста,PSTV,0.7642,0.5192,0.25,0.0673,0.1635,0.076
5155,дочистить,NEUT,0.4512,0.3824,0.4412,0.049,0.1275,0.0553
5156,дочитать,PSTV,0.7241,0.56,0.3,0.04,0.1,0.0429
5157,дочитувати,NEUT,0.5,0.4653,0.4653,0.0099,0.0594,0.0101
5158,доочищати,NEUT,0.3491,0.2804,0.4299,0.0841,0.2056,0.1093
5159,дочка,PSTV,0.684,0.5588,0.3333,0.0392,0.0686,0.042
5160,донька,PSTV,1.0,0.7317,0.1707,0.0244,0.0732,0.0252
5161,дочь,PSTV,0.6457,0.5417,0.3583,0.0083,0.0917,0.0085
5162,дошагал,NEUT,0.378,0.3429,0.4857,0.0857,0.0857,0.1071
5163,дошкольник,NEUT,0.1,0.1935,0.5806,0.0645,0.1613,0.086
5164,дошкільний,NEUT,0.2168,0.2673,0.5842,0.099,0.0495,0.1357
5165,дощечка,NEUT,0.0,0.1923,0.7692,0.0385,0.0,0.0462
5166,коштовність,PSTV,0.8644,0.6602,0.2427,0.0291,0.068,0.0304
5167,драгоценный,PSTV,1.0,0.8621,0.1379,0.0,0.0,0.0
5168,драже,NEUT,0.3609,0.33,0.49,0.05,0.13,0.0576
5169,дразнилка,NGTV,-0.9653,0.099,0.1782,0.6436,0.0792,0.1142
5170,дразнить,NGTV,-1.0,0.04,0.08,0.88,0.0,0.0418
5171,дразниться,NGTV,-1.0,0.0345,0.069,0.8276,0.069,0.0359
5172,драїти,NEUT,0.0731,0.24,0.43,0.2,0.13,0.3667
5173,драйв,PSTV,0.9,0.6111,0.2037,0.0556,0.1296,0.0606
5174,бійка,NGTV,-1.0,0.0385,0.0,0.9231,0.0385,0.0401
5175,дракон,NEUT,-0.0154,0.2137,0.4786,0.2222,0.0855,0.4191
5176,драконий,NEUT,-0.2079,0.11,0.47,0.21,0.21,0.1676
5177,драконівський,NGTV,-0.6154,0.1,0.26,0.38,0.26,0.1263
5178,дракончик,PSTV,0.6316,0.48,0.33,0.08,0.11,0.0933
5179,драма,NEUT,-0.2748,0.1881,0.3762,0.3663,0.0693,0.2847
5180,драматизувати,NGTV,-0.7075,0.11,0.28,0.5,0.11,0.1342
5181,драматичний,NEUT,-0.3347,0.1386,0.4653,0.3366,0.0594,0.1957
5182,драматичность,NEUT,-0.1674,0.1827,0.4519,0.2788,0.0865,0.3024
5183,драматичный,NGTV,-0.5331,0.1,0.39,0.43,0.08,0.1233
5184,драмтеатр,PSTV,0.6074,0.4667,0.3429,0.0381,0.1524,0.0412
5185,драндулет,NGTV,-0.4587,0.17,0.27,0.42,0.14,0.2388
5186,драний,NGTV,-0.9194,0.0,0.2143,0.6786,0.1071,0.0
5187,дерти,NGTV,-1.0,0.0882,0.0882,0.8235,0.0,0.0977
5188,битися,NGTV,-1.0,0.037000000000000005,0.1481,0.7778,0.037000000000000005,0.0388
5189,драчливость,NGTV,-1.0,0.04,0.12,0.72,0.12,0.0422
5190,забіякуватий,NGTV,-1.0,0.04,0.16,0.72,0.08,0.0422
5191,драчун,NGTV,-1.0,0.0,0.0741,0.7778,0.1481,0.0
5192,драчунья,NGTV,-1.0,0.0,0.12,0.76,0.12,0.0
5193,дурниці,NGTV,-0.9828,0.0333,0.1667,0.6333,0.1667,0.0351
5194,дребезг,NGTV,-0.7427,0.0882,0.2549,0.5,0.1569,0.1038
5195,деренчати,NGTV,-0.6509,0.06,0.3,0.46,0.18,0.0678
5196,деревина,NEUT,0.1875,0.2178,0.5149,0.099,0.1683,0.14400000000000002
5197,древесный,NEUT,0.0902,0.2143,0.6607,0.0357,0.0893,0.0417
5198,древнегреческий,NEUT,0.0,0.0,1.0,0.0,0.0,0.0
5199,древнеегипетский,NEUT,0.1261,0.2308,0.6442,0.0385,0.0865,0.0449
5200,найдавніший,NEUT,0.2686,0.301,0.5728,0.0485,0.0777,0.0564
5201,древнерусский,NEUT,0.0,0.0,1.0,0.0,0.0,0.0
5202,древній,NEUT,0.1,0.2,0.6,0.0706,0.1294,0.0955
5203,древность,NEUT,0.0,0.1923,0.7692,0.0385,0.0,0.0462
5204,дрейфити,NGTV,-0.5771,0.12,0.28,0.41,0.19,0.1551
5205,дремать,NEUT,0.3678,0.35,0.51,0.03,0.11,0.0326
5206,дрімучість,NGTV,-0.6933,0.0588,0.3137,0.5392,0.0882,0.0652
5207,дрімучий,NGTV,-0.4756,0.06,0.43,0.4,0.11,0.069
5208,дресс-код,NEUT,0.0806,0.2069,0.6552,0.0,0.1379,0.0
5209,дресирувати,NEUT,0.3636,0.36,0.42,0.14,0.08,0.1944
5210,дрессировка,NEUT,0.277,0.2903,0.5403,0.0968,0.0726,0.129
